modeltype,beta,tstat,dof,pval,ci_lower,ci_upper,Model Name,Stochasticity Type,Variable
Full,-1.7052235776551452,-9.098652126138713,98.99983589788388,1.0106388422812596e-14,-2.0770955375202016,-1.3333516177900888,PC depth levelmean,R,invtemp
Full,-1.8163177493745897,-8.701553789629322,98.99985454142602,7.370438176500694e-14,-2.2304930357971804,-1.4021424629519992,PC depth levelmean,V,invtemp
Full,-4.043795511203427,-13.700440591712097,99.00002711595131,1.3610699833184005e-24,-4.629453141763955,-3.4581378806428997,PC depth levelmean,T,invtemp
