modeltype,beta,tstat,dof,pval,ci_lower,ci_upper,Model Name,Stochasticity Type,Variable
Full,-1.8437706193417789,-10.546852576731585,99.00015739318957,7.037722573631036e-18,-2.1906457481087194,-1.4968954905748386,PC depth max,R,invtemp
Full,-1.8711626199169777,-9.774621772330475,98.99999235546112,3.3941358275766216e-16,-2.251002646415524,-1.4913225934184318,PC depth max,V,invtemp
Full,-3.9104369848105747,-11.493606737443287,99.00003605339457,6.264265652994753e-20,-4.585521446577853,-3.235352523043297,PC depth max,T,invtemp
