modeltype,beta,tstat,dof,pval,ci_lower,ci_upper,Model Name,Stochasticity Type,Variable
Full,-1.1565333333350531,-19.784061633886903,99.0025192780987,3.562550707848366e-36,-1.2725263162251272,-1.040540350444979,Empirical,R,points
Full,-0.6268642138769966,-7.755519771832012,98.99906007862646,7.985321579601169e-12,-0.7872447921170439,-0.4664836356369494,Empirical,R,first_rt
Full,-1.2621142857105707,-23.157914380524087,99.01785511611901,9.373799172182932e-42,-1.3702545496779708,-1.1539740217431707,Empirical,V,points
Full,-0.4915156023784667,-8.834297144366573,99.01104037299307,3.7938129302110846e-14,-0.6019117356444351,-0.3811194691124983,Empirical,V,first_rt
Full,-2.542057142856188,-22.911222343879498,98.99930733552308,2.3163669235875155e-41,-2.76221097120416,-2.321903314508216,Empirical,T,points
Full,-0.9433315435559263,-9.436391066674652,98.99699018807941,1.856670724760783e-15,-1.1416886411351235,-0.7449744459767291,Empirical,T,first_rt
