modeltype,beta_main,chi2_main,pval_main,ci_lower_main,ci_upper_main,beta_inter,chi2_inter,pval_inter,ci_lower_inter,ci_upper_inter,Model Name,Stochasticity Type,Variable,isGLMM
Full,0.39145636864711075,32345.020960022346,0.0,0.32655547798118006,0.45635725931304144,-0.38127906215481044,3033.5319764619635,0.0,-0.3954106663571018,-0.3671474579525191,Empirical,R,greedydiff,True
Full,0.48367212355580436,35716.90190483685,0.0,0.3825538585278661,0.5847903885837427,-0.42219075754081636,3606.450351769294,0.0,-0.4366966616223704,-0.4076848534592623,Empirical,V,greedydiff,True
Full,0.4149817253152982,33410.090347636666,0.0,0.3438388656059629,0.4861245850246335,-0.8587879509852377,3703.3848102323245,0.0,-0.8878888786975537,-0.8296870232729218,Empirical,T,greedydiff,True
