modeltype,beta,tstat,dof,pval,ci_lower,ci_upper,Model Name,Stochasticity Type,Variable
Full,-1.893967487027323,-11.604662922400385,99.00036530013597,3.612639367439374e-20,-2.217806468560307,-1.5701285054943392,PC depth sum,R,invtemp
Full,-1.722298746995335,-8.346228944050463,98.99999042253691,4.325433409441241e-13,-2.1317548494278293,-1.3128426445628407,PC depth sum,V,invtemp
Full,-4.005136315286777,-12.348923338402823,99.00043735201793,9.258552677099763e-22,-4.648678972230342,-3.361593658343213,PC depth sum,T,invtemp
