modeltype,beta,tstat,dof,pval,ci_lower,ci_upper,Model Name,Stochasticity Type,Variable
Full,-0.5202843357413199,-7.9701029448397795,98.99921629170046,2.7815714054396425e-12,-0.6498130390500062,-0.39075563243263367,Empirical,R,total_rt
Full,-0.21235910397990285,-3.9469375625110605,99.01355047974643,0.00014812556038949504,-0.3191167645405998,-0.10560144341920588,Empirical,V,total_rt
Full,-0.4087123106500127,-4.17344027285217,98.99994869601875,6.453829614517556e-05,-0.6030301509115203,-0.21439447038850498,Empirical,T,total_rt
