modeltype,beta,tstat,dof,pval,ci_lower,ci_upper,Model Name,Stochasticity Type,Variable
Full,-1.8565420518755755,-11.08654389703397,98.99963514575526,4.742282895820432e-19,-2.1888171425333804,-1.5242669612177706,PC depth path,R,invtemp
Full,-1.7613311791461168,-8.342445290531138,98.99988274571339,4.4075057537192153e-13,-2.1802566994675034,-1.34240565882473,PC depth path,V,invtemp
Full,-3.9577885301151423,-11.77836611355423,98.99964690075096,1.530316115504924e-20,-4.6245288371091915,-3.291048223121093,PC depth path,T,invtemp
